1;1_importace;2;2_importace;3;3_importace;4;4_importace;5;5_importace;6;6_importace;7;7_importace;8;8_importace;9;9_importace;10;10_importace;11;11_importace;12;12_importace
mountain;0.060126196301003756;peak;0.06579431405228574;bird;0.09505161131311878;stone;0.10067469427080976;dirttrack;0.07740407159466275;pose;0.06672268933894163;writing;0.1005802215745887;plaza;0.0878767996130879;child;0.07764387951729945;muscle;0.09800892573474516;writing;0.07073716172860713;tower;0.08980946163232642
hill;0.032337454598744125;city;0.06402576482544797;perch;0.07470797171375636;rockformation;0.07510425212590623;trail;0.06485923523948746;person;0.05655056407729566;monument;0.08369621968244151;cross;0.06507135520165623;play;0.06233785281994477;shirtless;0.062428210549235294;plaque;0.06753609807881567;antenna;0.07968446649274902
hillside;0.026548920254558767;cityview;0.06054327809953929;plant;0.06366179142581564;rocky;0.0720103980793843;hike;0.03663449745600212;man;0.044737087972508714;plaque;0.07524933414369761;pole;0.06202674967264139;boy;0.03467838973160591;cliff;0.05081259029085585;dam;0.06670623877493906;pole;0.06572530932804425
sky;0.02501074935263636;valley;0.05349057804501858;sit;0.05516090899291511;cliff;0.06018408552424882;child;0.03279867855631317;stand;0.03509986105067766;wall;0.052610965072236546;crucifix;0.049211386669480536;treetrunk;0.03088586837681482;man;0.04228080104633904;water;0.06174089459833873;satellite;0.044293189929753195
suburb;0.02052830912229467;hill;0.04938508818443846;treebranch;0.043526067164826106;peak;0.03521757490086682;path;0.03161340831556103;ledge;0.025251080137205468;drawing;0.04341760627310771;streetsign;0.048412728077004405;balustrade;0.02963026125870139;arm;0.03728371137963146;reservoir;0.06012083118681254;blue;0.04007094271227696
scenery;0.018688291095011553;scenery;0.037936870157940894;branch;0.043068030601511806;hiker;0.028687543089352185;brush;0.031234983684089272;selfie;0.023833810706500844;mountainlandscape;0.032230614496298604;shine;0.04792778490761128;path;0.02842882690596349;stone;0.034540969926430166;lake;0.049517547075022414;radio;0.031420013373847845
bird;0.017872289816696925;lake;0.03664145552440413;twig;0.04066159231941303;boulder;0.0281343745335048;boy;0.03101702410837341;swimwear;0.023735926798120522;skateboarder;0.030183700731334546;ray;0.0449580088450324;student;0.027569635242534734;pose;0.029797475073271233;wall;0.041167494859391925;crane;0.03021073394166397
mountainview;0.017330925389069538;water;0.025844792066889943;vegetation;0.03204745695797743;suburb;0.025030010581618106;dirtbike;0.029031104703546435;shirtless;0.02370375095327766;skier;0.028140804301082678;sunshine;0.03932881869683398;woman;0.027494484211502104;stand;0.028870478621010057;lagoon;0.034929029119285054;rail;0.029360425886251543
cloud;0.016425268691279474;hillside;0.023517197422757923;tree;0.02509541851664211;stare;0.02264072519691412;shirtless;0.02158326675944645;hiker;0.023538411406730207;profile;0.027206507538662324;yoga;0.031141820831220142;jog;0.025403049205034053;stare;0.028196210081023465;surround;0.0344046988419705;roadsign;0.02831946797070289
sit;0.01498851877705772;surround;0.020921907650014167;limb;0.02324254298205446;arm;0.018258837090151678;climb;0.02155681878382111;walk;0.02144144910839635;gravestone;0.026747376972643924;relax;0.03050983305129923;man;0.024286314484573465;hand;0.025865237446656312;monument;0.025864125745662808;equipment;0.02742375476647408
city;0.014408497987906409;mountain;0.02003476203828185;hill;0.022953547018676915;rockface;0.01805282157339425;bicycle;0.0213058051233055;red;0.021242567815758468;vent;0.025026787729845915;floor;0.027641351120589987;climb;0.0234497497529863;peak;0.024256804286007395;lava;0.01864706738401591;telegraphpole;0.026210454065872375
plant;0.014249912962879663;suburb;0.01861925153904651;flower;0.022814339166339136;cityview;0.01758126910251179;person;0.020717619795399118;stone;0.018917480842078848;snowboarder;0.0229049514002897;sky;0.027109098104918055;couple;0.019871307414598353;person;0.02417067523140343;sea;0.01858396139109228;dog;0.024525251262354542
perch;0.012796402966893576;cityskyline;0.016582734386092493;mountain;0.017143897310172747;sea;0.017286721064350474;up;0.019276065478926265;arm;0.017942504858688434;mark;0.018856640135557032;mat;0.02651826877123835;army;0.01890723432340785;motorbike;0.023718417337086285;turquoise;0.01784725112013218;powerline;0.02422782450021474
lush;0.012654121681936536;ledge;0.01625772272149978;grow;0.01698325669426629;sky;0.016908000570591473;swimwear;0.019059437310392727;sunset;0.017569233477903005;guitarist;0.018699696173079403;green;0.026411018939699115;stand;0.01883404711844871;catch;0.020961750356872217;house;0.01685114214826972;pen;0.022766115688576352
urban;0.012598408588535543;urban;0.015530459156504825;yellow;0.015350677465601597;mountain;0.016395881897494764;bin;0.01765174682367503;child;0.017462881483040517;band;0.018526899003012336;meditation;0.02485482858517488;backpack;0.01864902159532668;child;0.020074990488327223;postcard;0.016815137823494405;rust;0.022236069671560048
