id;model_identified_tags;user_specified_tags;image_caption;user_id;ispublic;taken;published;latitude;longitude;accuracy;context;locality;region;country;downloaded_at
52904733325;barrel | basement | beam | ceiling | container | fill | room | shelf | stool | tank | winery;;;97736029@N02;1.0;2022-08-12 10:04:11;2023-05-17 10:23:10;;;;;;;;2023-07-12 11:36:45
9241659630;balustrade | city | city view | hill | hillside | mountain | sea | peak | rail | sky | valley;;;58668680@N02;1.0;2013-07-08 09:50:37;2013-07-08 16:57:30;;;;;;;;2023-07-12 14:34:05
15187099604;bird | branch | brown | log | peak | perch | plant | pole | sit | stand | stump | tree | tree trunk;;;70054485@N05;1.0;2014-11-16 22:18:01;2014-11-17 00:18:30;;;;;;;;2023-07-12 12:29:08
2123658330;blanket | cloud | cloudy | green | hill | hillside | loom | lush | mountain | peak | sky;;;8183290@N04;1.0;2007-12-19 19:44:47;2007-12-19 21:44:47;;;;;;;;2023-07-12 14:49:28
52904796013;bicycle | bicycle helmet | biker | dirt track | person | man | mountain biker | oak tree | pose | race | stand | tree;;;97736029@N02;1.0;2022-08-13 08:42:02;2023-05-17 10:23:49;;;;;;;;2023-07-12 11:38:39
9238844135;brush | city | city view | grass | hill | hillside | mountain | peak | scenery | town | valley | vegetation | weed;;;58668680@N02;1.0;2013-07-08 09:45:53;2013-07-08 16:58:38;;;;;;;;2023-07-12 12:41:21
33159805151;city | city view | hill | hillside | mountain | peak | sky;;;46234535@N04;1.0;2017-03-06 13:39:38;2017-03-06 16:45:11;;;;;;;;2023-07-12 12:10:34
12707936924;apartment | building | city | football field | sky | tree;;;45480852@N03;1.0;2014-02-22 21:36:39;2014-02-23 00:36:39;;;;;;;;2023-07-12 12:32:10
9241666318;area | blow | brush | dry | grass | grow | hillside | plant | stone | vegetation | weed | wind;;;58668680@N02;1.0;2013-07-08 09:51:33;2013-07-08 16:57:16;;;;;;;;2023-07-12 12:40:46
3527275536;blue | city | drop | hang | rain | sky | water | water drop;;;73185724@N00;1.0;2009-05-12 22:23:21;2009-05-13 01:23:21;;;;;;;;2023-07-12 14:38:32
52904744320;atv | couple | field | headlight | horizon | motorcycle | park | plain | sky | sun | sunset;;;97736029@N02;1.0;2022-08-13 17:02:49;2023-05-17 10:33:46;;;;;;;;2023-07-12 11:35:50
9238864119;bloom | flower | plant | sky | tree | white;;;58668680@N02;1.0;2013-07-08 09:48:40;2013-07-08 16:57:59;;;;;;;;2023-07-12 14:35:02
3587529038;anchor | trumpet | image | reflect | reflection | sculpture | sky | sphere;;;9950599@N02;1.0;2009-06-01 21:06:09;2009-06-02 00:19:30;;;;;;;;2023-07-12 13:24:50
52903773612;ceiling | conservatory | fill | flower | path | garden | glass house | nursery | pink | plant | rose;;;97736029@N02;1.0;2022-08-13 10:06:08;2023-05-17 10:23:55;;;;;;;;2023-07-12 11:38:12
9241659294;city | city view | hill | hillside | lush | mound | mountain | peak | sky;;;58668680@N02;1.0;2013-07-08 09:50:34;2013-07-08 16:57:31;;;;;;;;2023-07-12 14:34:07
52903786107;bloom | field | flower | grow | sky | sunflower | sunflower field | yellow;;;97736029@N02;1.0;2022-08-13 10:55:08;2023-05-17 10:33:16;;;;;;;;2023-07-12 11:49:46
52904360881;bee | bug | bumblebee | field | flower | insect | lavender | nectar | plant | pollen | purple;;;97736029@N02;1.0;2022-08-13 10:11:42;2023-05-17 10:33:11;;;;;;;;2023-07-12 11:34:31
52904796523;hill | hillside | lush | mound | peak | tree;;;97736029@N02;1.0;2022-08-12 17:33:52;2023-05-17 10:23:47;;;;;;;;2023-07-12 11:38:00
26373338309;bird | blue | bluebird | creek | perch | plant | stone | sit | stand | stream | vegetation | water;;;70054485@N05;1.0;2017-11-03 21:37:20;2017-11-03 23:37:26;;;;;;;;2023-07-12 12:06:47
52904360181;bee | field | flower | lavender | nectar | plant | pollen | purple;;;97736029@N02;1.0;2022-08-13 10:11:49;2023-05-17 10:33:15;;;;;;;;2023-07-12 11:36:17
